"cupr_id","user_id","curs_id","cupr_descripcion","cupr_fecha_creacion","cupr_fecha_modificacion","cupr_usuario_creacion","cupr_usuario_modificacion","cupr_status","asig_id"
152,4,802,null,"2024-08-10 22:56:47",,admin,,1,125
153,1,802,null,"2024-08-10 22:57:21",,admin,,1,125
154,1,52,null,"2024-08-10 23:11:58",,admin,,1,114
155,1,802,null,"2024-08-10 23:13:30",,admin,,1,127
202,1,908,null,"2024-08-11 10:36:17",,admin,,1,126
203,1,908,null,"2024-08-11 13:28:10",,admin,,1,116
204,152,1156,null,"2024-08-11 14:06:26",,admin,,1,127
205,152,802,null,"2024-08-11 14:06:33",,admin,,1,126
